Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI
2025,02,Clark,02060.1,Thompson T ES,Regular,85.5,5,NO,67.2,63.4,21.1,YES,YES,NO,NO,71.2,60.6,45.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.2,NO,N/A,NO,NO,N/A
2025,02,Clark,02061.1,Abston ES,Regular,52.5,3,YES,52.1,45.3,22.2,YES,YES,NO,NO,52.9,37.5,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.6,NO,N/A,NO,NO,N/A
2025,02,Clark,02062.1,Jenkins ES,Regular,42.5,2,YES,46.1,42.8,17.9,YES,YES,NO,NO,54.4,39.4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,NO,N/A,NO,NO,N/A
2025,02,Clark,02064.1,Ellis ES,Regular,71,4,NO,66.9,61.5,25,YES,YES,NO,NO,71.2,43.6,78.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,NO,N/A,NO,YES,1
2025,02,Clark,02065.1,Ortwein ES,Regular,53,3,NO,53.6,43.6,22.3,YES,YES,NO,NO,58.9,39,41.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.3,NO,N/A,NO,NO,N/A
2025,02,Clark,02066.1,Barber ES,Regular,71.5,4,YES,59.5,50.8,24.8,YES,YES,NO,NO,70,50.2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.8,NO,N/A,YES,NO,N/A
2025,02,Clark,02067.1,Divich ES,Regular,79.5,4,NO,64.9,56.7,25.6,YES,YES,NO,NO,70.8,51.4,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.6,NO,N/A,NO,NO,N/A
2025,02,Clark,02068.1,Jones Blackhurst ES,Regular,87,5,NO,70.8,59.7,37.2,YES,YES,NO,NO,73.5,54.3,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.8,NO,N/A,NO,NO,N/A
2025,02,Clark,02069.1,Vassiliadis ES,Regular,95,5,NO,81.2,80.5,54.1,YES,YES,NO,NO,77.5,70.8,65.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,NO,N/A,NO,NO,N/A
2025,02,Clark,02070.1,Berkley ES,Regular,70,4,NO,65.7,57.9,29.2,YES,YES,NO,NO,70.4,46,45.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.5,NO,N/A,NO,NO,N/A
2025,02,Clark,02071.1,Stevens ES,Regular,78,4,YES,65.5,52.3,36.5,YES,YES,NO,NO,70.4,57.8,30.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.3,NO,N/A,NO,NO,N/A
2025,02,Clark,02072.1,Mathis ES,Regular,67.5,4,NO,58.3,59.8,22.4,YES,YES,NO,NO,60,48.1,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,NO,N/A,NO,YES,3
2025,02,Clark,02073.1,Heard ES,Regular,62,3,YES,46.8,48.3,16.8,YES,YES,NO,NO,55.4,43,60.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,02,Clark,02074.1,Snyder D ES,Regular,50,3,NO,52.5,38,15,YES,YES,NO,NO,58.9,27.5,61.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,YES,2
2025,02,Clark,02075.1,NWCTA ES,Regular,95,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,NO,N/A,NO,NO,N/A
2025,02,Clark,02076.1,Duncan ES,Regular,27,2,YES,33.5,23.8,5.2,YES,YES,YES,NO,45.1,25,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.2,NO,N/A,NO,YES,3
2025,02,Clark,02077.1,Wallin ES,Regular,74.5,4,NO,70.2,67.7,35.3,YES,YES,NO,NO,65.5,48.2,64.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.7,NO,N/A,NO,NO,N/A
2025,02,Clark,02078.1,Stuckey ES,Regular,90,5,NO,63.9,56.9,33.7,YES,YES,NO,NO,74.8,61,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.1,NO,N/A,NO,NO,N/A
2025,02,Clark,02079.1,Keller  ES,Regular,62,3,YES,46.5,37.1,6.8,YES,YES,NO,NO,62.5,41.6,41.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.4,NO,N/A,NO,YES,2
