Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI
2025,18,"State Public Charter School Authority ",101101.1,NV Rise CS ES,SPCSA,48,2,YES,49.3,32.4,5.8,YES,YES,NO,NO,54,27,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,YES,3
2025,18,"State Public Charter School Authority ",102100.1,NV Prep CS ES,SPCSA,12.5,1,YES,26.6,16.6,<5,YES,YES,NO,NO,34.3,14,32.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.2,YES,1,NO,NO,N/A
2025,18,"State Public Charter School Authority ",102100.2,NV Prep CS MS,SPCSA,26.5,1,YES,30.1,11.8,14,YES,YES,NO,NO,39.5,15.3,11.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,53.5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",104101.3,NSHS II Meadowwood HS,SPCSA,97.5,5,NO,84.6,38.4,N/A,-,-,NO,NO,N/A,N/A,N/A,N/A,N/A,-,-,85,>95,93.3,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",105101.1,Signature Prep CS ES,SPCSA,56.5,3,YES,53.4,47.1,19.5,YES,YES,NO,NO,52.7,36.5,43.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",105101.2,Signature Prep CS MS,SPCSA,67,3,YES,52.6,27.3,38.1,YES,YES,NO,NO,56.1,29.7,17.6,85.4,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",106101.1,Pinecrest Northern NV ES,SPCSA,95,5,NO,60.2,63.9,39.2,YES,YES,NO,NO,74.2,79,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",106101.2,Pinecrest Northern NV MS,SPCSA,83.8,5,NO,58,48.7,55.4,YES,YES,NO,NO,60.4,46.7,-,93.7,N/A,N/A,N/A,N/A,N/A,N/A,8.9,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",107101.2,Explore ACAD MS,SPCSA,22,1,YES,25,6.3,20,YES,YES,NO,NO,27.8,6.6,23.5,93.3,N/A,N/A,N/A,N/A,N/A,N/A,27.4,NO,N/A,NO,YES,3
2025,18,"State Public Charter School Authority ",107101.3,Explore ACAD HS,SPCSA,31.5,Not Rated,YES,31.2,<5,6.4,YES,YES,NO,NO,N/A,N/A,20,N/A,90.9,18.1,18.1,-,-,N/A,35.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",110100.1,CIVICA Acad ES,SPCSA,80.5,4,YES,45.4,37.9,10.5,YES,YES,NO,NO,62,55.1,52.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",110100.2,CIVICA Acad MS,SPCSA,83,5,YES,49.1,23.1,34.3,YES,YES,NO,NO,61.9,35.9,31.8,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",110100.3,CIVICA Acad HS,SPCSA,78,Not Rated,YES,N/A,N/A,6.8,N/A,N/A,NO,NO,N/A,N/A,37.9,N/A,98.2,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",111100.1,Sage Collegiate ES,SPCSA,15,1,YES,14.2,14.4,<5,YES,YES,NO,NO,24.5,12.2,37.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.3,YES,2,NO,NO,N/A
2025,18,"State Public Charter School Authority ",111100.2,Sage Collegiate MS,SPCSA,46.3,2,YES,32.1,8.9,N/A,YES,YES,NO,NO,46.6,18.1,30.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.4,NO,N/A,NO,YES,2
2025,18,"State Public Charter School Authority ",113100.2,YWLA MS,SPCSA,53.5,3,YES,42.3,14.2,20,YES,YES,NO,NO,45.7,17.1,13.3,84.6,N/A,N/A,N/A,N/A,N/A,N/A,22.9,NO,N/A,NO,YES,2
2025,18,"State Public Charter School Authority ",113100.3,YWLA HS,SPCSA,75,Not Rated,YES,N/A,N/A,N/A,N/A,N/A,NO,NO,N/A,N/A,-,N/A,100,N/A,N/A,N/A,N/A,N/A,30.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",114100.1,pilotED Cactus Park ES,SPCSA,32,2,YES,20.3,19,5,YES,YES,NO,NO,44.4,25,25.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.4,NO,N/A,NO,YES,2
2025,18,"State Public Charter School Authority ",115100.1,Strong Start Academy ES,SPCSA,83.5,4,YES,55.3,58.6,N/A,YES,YES,NO,NO,62.9,57.6,82.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",116100.1,Battle Born Charter ES,SPCSA,36,2,YES,25.3,18.2,<5,YES,YES,NO,NO,43.7,25.5,27.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",116100.2,Battle Born Charter MS,SPCSA,33.5,2,YES,20.2,8.5,15.1,YES,YES,NO,NO,31.7,9.6,13.5,91.1,N/A,N/A,N/A,N/A,N/A,N/A,9.6,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",38435.1,Freedom Class ACAD ES,SPCSA,48.5,2,YES,37.8,40.8,16.1,YES,YES,NO,NO,46.9,35.6,56.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",38435.2,Freedom Class ACAD MS,SPCSA,65.5,3,YES,50.1,30.4,26.3,YES,YES,NO,NO,56.4,32.6,15.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,8.2,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",39438.1,Legacy N Valley ES,SPCSA,72,4,YES,46.7,40,10.7,YES,YES,NO,NO,60.2,44,54.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,NO,N/A,NO,YES,2
2025,18,"State Public Charter School Authority ",39438.2,Legacy N Valley MS,SPCSA,73,4,YES,52.2,24.7,41.6,YES,YES,NO,NO,60.1,28.5,43.2,57.5,N/A,N/A,N/A,N/A,N/A,N/A,13,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",39439.1,Legacy Cadence ES,SPCSA,39,2,YES,37.8,37,7.3,YES,YES,NO,NO,42.1,34.4,41.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",39439.2,Legacy Cadence MS,SPCSA,59,3,YES,49.5,25.9,41.7,YES,YES,NO,NO,55.8,26.1,20,87,N/A,N/A,N/A,N/A,N/A,N/A,9.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",39440.1,Legacy SW ES,SPCSA,93,5,NO,68.2,65.7,22.2,YES,YES,NO,NO,66.1,58.4,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",39440.2,Legacy SW MS,SPCSA,100,5,NO,72.5,57.3,64.8,YES,YES,NO,NO,75.1,58.5,54.1,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",43100.1,Futuro ACAD ES,SPCSA,73.5,4,YES,41,36,6,YES,YES,NO,NO,66.1,49.2,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.6,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",44437.1,Mater Northern NV ES,SPCSA,76.5,4,YES,51.2,51.2,<5,YES,YES,NO,NO,49.5,48.1,61.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",44437.2,Mater Northern NV MS,SPCSA,67.5,3,YES,44.5,28.2,26.9,YES,YES,NO,NO,46.3,29,47.1,>95,N/A,N/A,N/A,N/A,N/A,N/A,10.7,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",46100.1,DP Agassi ES,SPCSA,18.5,1,YES,24.8,20.9,5.4,YES,YES,NO,NO,35.4,21.5,37.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.9,NO,N/A,NO,YES,2
2025,18,"State Public Charter School Authority ",46200.2,DP Agassi MS,SPCSA,44.5,2,YES,38.1,19,20,YES,YES,NO,NO,45.8,22.9,13.7,>95,N/A,N/A,N/A,N/A,N/A,N/A,36.1,NO,N/A,NO,YES,1
2025,18,"State Public Charter School Authority ",46300.3,DP Agassi  HS,SPCSA,53.5,3,YES,52.3,6.3,13.4,YES,YES,NO,NO,N/A,N/A,15,N/A,100,58.4,<4.5,26.6,83.3,>95,35.9,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",47434.1,SLAM ES,SPCSA,40,2,YES,40,37.1,5.3,YES,YES,NO,NO,41.7,28.5,50.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.8,NO,N/A,NO,YES,1
2025,18,"State Public Charter School Authority ",47434.2,SLAM MS,SPCSA,89,5,YES,54.6,38.6,40.3,YES,YES,NO,NO,63.7,40.5,50,94.7,N/A,N/A,N/A,N/A,N/A,N/A,7.9,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",47434.3,SLAM HS,SPCSA,85,5,YES,54.4,19.3,22.3,YES,YES,NO,NO,N/A,N/A,30.3,N/A,96.6,90.4,87.3,35.5,>95,>95,8.3,NO,N/A,NO,NO,N/A
2025,18,"State Public Charter School Authority ",48433.2,Equipo ACAD MS,SPCSA,53,3,YES,38.1,21.9,24.3,YES,YES,NO,NO,40.6,25.2,11.4,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A
